company_name,company_address,longitude,latitude,company_scale,company_kind,mid_company_kind,big_company_kind
(주)삼호,인천시 남동구 미래로 14 (구월동),126.7049903,37.4511235,대기업,건물건설업,건설·건축·토목·시공,건설업
거창맑은물사랑(주),"대전광역시 동구 옛신탄진로 2 (삼성동), 코오롱워터앤에너지(주5층",127.4261014,36.3413832,중견기업,건물건설업,건설·건축·토목·시공,건설업
이화공영(주),"서울특별시 마포구 양화로 104 (서교동),삼윤빌딩",126.9191217,37.5528739,중견기업,건물건설업,건설·건축·토목·시공,건설업
(주)신한,경기도 성남시 중원구 산성대로 208 (성남동),127.1418615,37.4374775,중견기업,건물건설업,건설·건축·토목·시공,건설업
엘아이지건영피에프브이제일호(주),서울특별시 강남구 삼성로 508(삼성동),127.0566093,37.507775,중견기업,건물건설업,건설·건축·토목·시공,건설업
(주)신영대농개발,충북 청주시 청원구 내수읍 도원세교로 59-36,127.5452455,36.7124597,중견기업,건물건설업,건설·건축·토목·시공,건설업
대전꿈나무(주),대전광역시 서구 문정로48번길 12 (탄방동),127.3842074,36.3461482,중견기업,건물건설업,건설·건축·토목·시공,건설업
에이치디씨현대산업개발(주),서울시 용산구 한강대로23길 55 현대아이파크몰 9층,126.9647528,37.5297133,중견기업,건물건설업,건설·건축·토목·시공,건설업
남화토건(주),전남 화순군 화순읍 벽라1길 40,126.9688992,35.0527056,중견기업,건물건설업,건설·건축·토목·시공,건설업
한양개발(주),전남 순천시 조곡동 둑실5길 25,127.4976885,34.9586805,중견기업,건물건설업,건설·건축·토목·시공,건설업
(주)협성건설,부산시 부산진구 당감로104,129.0382417,35.1709036,중견기업,건물건설업,건설·건축·토목·시공,건설업
(주)세보엠이씨,서울시 서초구 효령로 341 (서초동 1605-9 인산빌딩),127.021303,37.4866645,중견기업,건물설비설치공사업,건설·건축·토목·시공,건설업
무경설비(주),"울산광역시 남구 신정로 52, 3층",129.321863,35.5365095,중견기업,건물설비설치공사업,건설·건축·토목·시공,건설업
현대엔지니어링(주),서울특별시 종로구 율곡로 75 (계동),126.9862087,37.5811258,대기업,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
벽산엔지니어링(주),경기도 성남시 분당구 벌말로50번길 41,127.1432077,37.4119262,중견기업,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
(주)한국종합기술,경기도 성남시 중원구 산성대로476번길 6 (금광동),127.1614603,37.4537225,중견기업,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
(주)경호엔지니어링종합건축사사무소,경기 구리시 체육관로 74번길 41(수택동),127.140371,37.5913659,중견기업,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
(주)한국가스기술공사,대전 유성구 대덕대로 1227,127.3900514,36.4360561,중견기업,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
동부엔지니어링(주),경기도 안양시 만안구 안양로155,126.9300797,37.3879604,중견기업,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
(주)동명기술공단종합건축사사무소,"경기도 화성시 노작로4길 8(반송동,4층)",127.0775603,37.1967228,중견기업,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
(주)도화엔지니어링,서울특별시 강남구 삼성로 438 (대치동),127.0574604,37.5061897,중견기업,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
(주)한국건설관리공사,"경상북도 김천시 혁신2로 40 (율곡동, 경북김천혁신도시산학연유치지원센터)",128.1811959,36.1168306,중견기업,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
(주)제일엔지니어링종합건축사사무소,서울특별시 서초구 강남대로16길 22-6 (양재동),127.0399437,37.4809008,중견기업,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
(주)경동엔지니어링,"충남 천안시 동남구 만남로 72, 1514호(신부동, 삼부르네상스홈)",127.1601949,36.8195179,중견기업,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
(주)엔알씨,"경기도 연천군 청산면 순욱길 126(대전리, (주)NRC)",127.0967186,38.0002405,중견기업,건설용석재채굴쇄석생산업,건설·건축·토목·시공,건설업
(주)토문건축사사무소,"서울특별시 송파구 충민로 52 (문정동, 가든파이브웍스)10층",127.1226086,37.4777448,중견기업,건축기술엔지니어링관련기술서비스업,건설·건축·토목·시공,건설업
(주)성도이엔지,서울시 강남구 영동대로 106길 42,127.06467,37.5140448,중견기업,건축기술엔지니어링관련기술서비스업,건설·건축·토목·시공,건설업
(주)현대종합설계건축사사무소,서울특별시 종로구 율곡로 75 현대빌딩 4층,126.9875407,37.5779778,대기업,건축설계관련서비스업,건설·건축·토목·시공,건설업
(주)포스코에이앤씨건축사사무소,인천광역시 연수구 컨벤시아대로 165 포스코타워송도 24층,126.643889,37.389167,대기업,건축설계관련서비스업,건설·건축·토목·시공,건설업
(주)엑스메텍,경기도 성남시 중원구 둔촌대로 400 (상대원동),127.1618261,37.4328282,대기업,건축설계관련서비스업,건설·건축·토목·시공,건설업
(주)아이티엠코퍼레이션건축사사무소,서울특별시 강남구 선릉로 747 (논현동)삼성당빌딩 4층,127.0393566,37.52121760000000,중견기업,건축설계관련서비스업,건설·건축·토목·시공,건설업
(주)희림종합건축사사무소,서울특별시 강동구 상일로6길 39 (상일동),127.1751496,37.5498125,중견기업,건축설계관련서비스업,건설·건축·토목·시공,건설업
(주)해안종합건축사사무소,"서울특별시 강남구 봉은사로 208(역삼동, 해안빌딩)",127.0423174,37.5101691,중견기업,건축설계관련서비스업,건설·건축·토목·시공,건설업
(주)유신,서울특별시 강남구 역삼로4길 8 (역삼동),127.0317878,37.4929192,중견기업,건축설계관련서비스업,건설·건축·토목·시공,건설업
(주)종합건축사사무소건원,서울특별시 강남구 역삼로25길 23 (역삼동),127.0392926,37.4977877,중견기업,건축설계관련서비스업,건설·건축·토목·시공,건설업
(주)삼우종합건축사사무소,서울시 강동구 천호대로 1077 ECT,127.1319678,37.5372338,대기업,건축설계관련서비스업,건설·건축·토목·시공,건설업
(주)선엔지니어링종합건축사사무소,충청북도 청주시 상당구 사직대로361번길 91 (영동),127.4870016,36.641043,중견기업,건축설계관련서비스업,건설·건축·토목·시공,건설업
공항철도(주),인천광역시 서구 검바위로 46 (검암동),126.670943,37.5685286,중견기업,교량터널철도건설업,건설·건축·토목·시공,건설업
덕송내각고속화도로(주),경기도 남양주시 송산로 102 (별내동),127.1322217,37.65861600000000,대기업,교량터널철도건설업,건설·건축·토목·시공,건설업
우면산인프라웨이(주),서울특별시 서초구 우면산로 369 (우면동),127.0182142,37.4635245,중견기업,교량터널철도건설업,건설·건축·토목·시공,건설업
삼호개발(주),충남 당진시 면천면 면천로 183,126.6245116,36.8331131,중견기업,기반조성시설물축조관련전문공사업,건설·건축·토목·시공,건설업
(주)동아지질,부산시 금정구 금샘로 347,129.0846846,35.2541016,중견기업,기반조성시설물축조관련전문공사업,건설·건축·토목·시공,건설업
(주)부영,서울특별시 중구 세종대로9길 42 (서소문동),126.9751473,37.5640182,대기업,단독주택건설업,건설·건축·토목·시공,건설업
(주)시티산업개발,"경기도 가평군 설악면 유명로 1390-11, 105호",127.4644681,37.657341,중견기업,단독주택건설업,건설·건축·토목·시공,건설업
(주)시티이엔지,경기도 가평군 설악면 유명로 1390-11,127.4644681,37.657341,중견기업,단독주택건설업,건설·건축·토목·시공,건설업
(주)시티건설산업,경기도 가평군 설악면 유명로 1390-11,127.4644681,37.657341,중견기업,단독주택건설업,건설·건축·토목·시공,건설업
한일건설(주),광주광역시 광산구 사암로 209(우산동),126.8198676,35.151951,중견기업,단독주택건설업,건설·건축·토목·시공,건설업
(주)화성개발,"대구광역시 중구 대봉로 226 (대봉동, 대봉화성그린빌아파트)",128.6018338,35.858854,중견기업,단독주택건설업,건설·건축·토목·시공,건설업
(주)산양종합개발,부산광역시 남구 자성로 152 (문현동),129.0668917,35.1364934,중견기업,단독주택건설업,건설·건축·토목·시공,건설업
삼환기업(주),서울특별시 종로구 율곡로 82,126.9881626,37.5771875,중견기업,도로건설업,건설·건축·토목·시공,건설업
현대건설(주),서울시 종로구 율곡로 75 현대건설빌딩,126.9875407,37.5779778,대기업,도로건설업,건설·건축·토목·시공,건설업
(주)한화건설,경기도 시흥시 대은로 81 모비딕빌딩 8층 (대야동),126.7972914,37.4446938,대기업,도로건설업,건설·건축·토목·시공,건설업
옥산오창고속도로(주),"충청북도 청주시 청원구 오창읍 과학산업2로 373, 302호",127.4225164,36.7155902,대기업,도로건설업,건설·건축·토목·시공,건설업
일성건설(주),인천광역시 남동구 인하로507번길 80 (구월동),126.7035291,37.4468478,중견기업,도로건설업,건설·건축·토목·시공,건설업
(주)태영건설,경기도 고양시 일산동구 정발산로 24,126.7726419,37.6547758,중견기업,도로건설업,건설·건축·토목·시공,건설업
진흥기업(주),"인천시 연수구 컨벤시아대로 69, 송도밀레니엄 807호",126.6509433,37.3956755,대기업,도로건설업,건설·건축·토목·시공,건설업
고려개발(주),"경기도 용인시 수지구 풍덕천로 112, 501호 (풍덕천동, 하나프라자빌딩)",127.0944095,37.3220667,대기업,도로건설업,건설·건축·토목·시공,건설업
(주)한양,"인천시 남동구 미래로 14, 201호(구월동,일류빌딩)",126.7049903,37.4511235,중견기업,도로건설업,건설·건축·토목·시공,건설업
대보실업(주),"서울특별시 강남구 광평로 280(수서동,로즈데일오피스텔)",127.1030015,37.4873425,중견기업,도로건설업,건설·건축·토목·시공,건설업
쌍용건설(주),서울특별시 송파구 올림픽로 299 (신천동),127.1035383,37.5154289,중견기업,도로건설업,건설·건축·토목·시공,건설업
코오롱글로벌(주),경기도 과천시 코오롱로 11,126.9907579,37.4254455,대기업,도로건설업,건설·건축·토목·시공,건설업
(주)한성,경기도 고양시 덕양구 대덕산로 108 (덕은동)(주)한성,126.8669434,37.5828101,대기업,도로건설업,건설·건축·토목·시공,건설업
(주)동양건설산업,"경기도 수원시 권선구 권광로139번길 11 (권선동, 동양덱스빌아파트)",127.030223,37.2599898,중견기업,도로건설업,건설·건축·토목·시공,건설업
극동건설(주),충청남도 공주시 유구읍 유구마곡사로 122,126.9647231,36.5514314,중견기업,도로건설업,건설·건축·토목·시공,건설업
대우조선해양건설(주),"경기도 김포시 봉화로 21, 4층 다호(사우동, 에이치케이빌딩)",126.7154317,37.6184366,중견기업,도로건설업,건설·건축·토목·시공,건설업
(주)한라,서울시 송파구 올림픽로 289 (신천동),127.1025206,37.5146219,중견기업,도로건설업,건설·건축·토목·시공,건설업
에스지신성건설(주),서울특별시 금천구 가산디지털2로 45 에이-309,126.8830799,37.4819495,중견기업,도로건설업,건설·건축·토목·시공,건설업
요진건설산업(주),"강원도 원주시 시청로 21 (무실동),요진타워  7층",127.9227622,37.3406567,중견기업,도로건설업,건설·건축·토목·시공,건설업
대보건설(주),충청남도 보령시 큰오랏1길 72 (동대동),126.6072835,36.3507661,중견기업,도로건설업,건설·건축·토목·시공,건설업
남양건설(주),전라남도 나주시 예향로 4141 (송월동),126.7100516,35.00925,중견기업,도로건설업,건설·건축·토목·시공,건설업
동양종합건설(주),포항시 북구 중흥로 231(죽도동),129.3583085,36.0242049,중견기업,도로건설업,건설·건축·토목·시공,건설업
(주)한진중공업,부산광역시 영도구 태종로 233 (봉래동5가),129.0520328,35.093534,중견기업,도로건설업,건설·건축·토목·시공,건설업
(주)대저건설,경상남도 김해시 가락로30번길 17 (부원동),128.8840899,35.22981500000000,중견기업,도로건설업,건설·건축·토목·시공,건설업
(주)한화도시개발,충청남도 아산시 둔포면 해위안길62번길 16,127.0230055,36.8937755,대기업,부동산개발공급업,건설·건축·토목·시공,건설업
(주)쌍용타운개발피에프브이,"서울특별시 중구 수표로 34 (저동2가), 씨티센터타워  2층",126.9903565,37.5644711,중견기업,부동산개발공급업,건설·건축·토목·시공,건설업
미래삼송프로젝트(주),"서울특별시 영등포구 당산로41길 11 (당산동4가), 당산에스케이브이1센터  203호",126.8981,37.5307871,중견기업,부동산개발공급업,건설·건축·토목·시공,건설업
(주)스타필드청라,서울특별시 중구 남대문로 42 (충무로1가)(충무로 1가),126.9825162,37.5611699,대기업,부동산개발공급업,건설·건축·토목·시공,건설업
