group,job,big_job
1,경영지원,"법무,사무,총무"
2,"HRD,HRM","인사,HR"
3,회계담당자,"회계,세무"
4,광고기획자,"마케팅,광고"
6,웹퍼블리셔,"개발,데이터,네트워크"
21,영업관리,영업
20,인바운드상담원,고객상담
1,노무사,"법무,사무,총무"
2,직업상담사,"인사,HR"
3,세무담당자,"회계,세무"
5,보안엔지니어,"개발,데이터,네트워크"
20,고객센터관리자,고객상담
2,노무관리자,"인사,HR"
21,"IT,기술영업",영업
1,사무담당자,"법무,사무,총무"
1,총무,"법무,사무,총무"
1,사무보조,"법무,사무,총무"
1,법무담당자,"법무,사무,총무"
1,변호사,"법무,사무,총무"
1,변리사,"법무,사무,총무"
2,인사담당자,"인사,HR"
2,잡매니저,"인사,HR"
2,헤드헌터,"인사,HR"
3,경리,"회계,세무"
3,재무담당자,"회계,세무"
3,감사,"회계,세무"
3,"IR,공시","회계,세무"
3,회계사,"회계,세무"
3,관세사,"회계,세무"
4,브랜드마케터,"마케팅,광고"
4,퍼포먼스마케터,"마케팅,광고"
4,CRM마케터,"마케팅,광고"
4,온라인마케터,"마케팅,광고"
4,콘텐츠마케터,"마케팅,광고"
4,"설문,리서치담당자","마케팅,광고"
4,카피라이터,"마케팅,광고"
4,크리에이티브 디렉터,"마케팅,광고"
4,채널관리자,"마케팅,광고"
4,그로스해커,"마케팅,광고"
5,백엔드개발자,"개발,데이터,네트워크"
5,프론트엔드개발자,"개발,데이터,네트워크"
5,웹개발자,"개발,데이터,네트워크"
5,앱개발자,"개발,데이터,네트워크"
5,시스템엔지니어,"개발,데이터,네트워크"
5,네트워크엔지니어,"개발,데이터,네트워크"
5,DBA,"개발,데이터,네트워크"
5,데이터엔지니어,"개발,데이터,네트워크"
5,데이터사이언티스트,"개발,데이터,네트워크"
6,소프트웨어개발자,"개발,데이터,네트워크"
6,하드웨어개발자,"개발,데이터,네트워크"
6,머신러닝엔지니어,"개발,데이터,네트워크"
6,블록체인개발자,"개발,데이터,네트워크"
6,클라우드엔지니어,"개발,데이터,네트워크"
6,게임개발자,"미디어,문화,스포츠"
21,제품영업,영업
21,서비스영업,영업
21,해외영업,영업
21,광고영업,영업
21,금융영업,영업
21,법인영업,영업
21,영업지원,영업
20,아웃바운드상담원,고객상담
18,스포츠강사,"미디어,문화,스포츠"
16,비파괴검사원,"건설,건축,시설"
19,"방역,방재기사","공공,복지"
19,사회복지사,"공공,복지"
19,요양보호사,"공공,복지"
19,환경미화원,"공공,복지"
19,보건관리자,"공공,복지"
14,생산직종사자,"제조,생산"
14,"생산,공정관리자","제조,생산"
14,품질관리자,"제조,생산"
14,"포장,가공담당자","제조,생산"
14,공장관리자,"제조,생산"
14,용접사,"제조,생산"
18,"리포터,성우","미디어,문화,스포츠"
16,건축가,"건설,건축,시설"
16,건축기사,"건설,건축,시설"
16,시공기사,"건설,건축,시설"
16,전기기사,"건설,건축,시설"
16,토목기사,"건설,건축,시설"
16,시설관리자,"건설,건축,시설"
16,현장관리자,"건설,건축,시설"
16,안전관리자,"건설,건축,시설"
16,소방설비,"건설,건축,시설"
16,현장보조,"건설,건축,시설"
16,감리원,"건설,건축,시설"
16,도시조경설계사,"건설,건축,시설"
16,환경기사,"건설,건축,시설"
16,공인중개사,"건설,건축,시설"
16,감정평가사,"건설,건축,시설"
16,분양매니저,"건설,건축,시설"
9,"납품,배송기사","운전,운송,배송"
9,"화물,중장비기사","운전,운송,배송"
9,"조종,기관사","운전,운송,배송"
13,"전기,전자엔지니어","엔지니어링,설계"
13,기계엔지니어,"엔지니어링,설계"
13,설계엔지니어,"엔지니어링,설계"
13,설비엔지니어,"엔지니어링,설계"
13,반도체엔지니어,"엔지니어링,설계"
13,화학엔지니어,"엔지니어링,설계"
13,공정엔지니어,"엔지니어링,설계"
13,하드웨어엔지니어,"엔지니어링,설계"
13,통신엔지니어,"엔지니어링,설계"
13,RF엔지니어,"엔지니어링,설계"
13,필드엔지니어,"엔지니어링,설계"
13,R&D연구원,"엔지니어링,설계"
18,"PD,감독","미디어,문화,스포츠"
18,포토그래퍼,"미디어,문화,스포츠"
18,영상편집자,"미디어,문화,스포츠"
18,사운드엔지니어,"미디어,문화,스포츠"
18,스태프,"미디어,문화,스포츠"
18,"출판,편집","미디어,문화,스포츠"
18,"배급,제작자","미디어,문화,스포츠"
18,콘텐츠에디터,"미디어,문화,스포츠"
18,크리에이터,"미디어,문화,스포츠"
18,기자,"미디어,문화,스포츠"
18,작가,"미디어,문화,스포츠"
18,아나운서,"미디어,문화,스포츠"
18,"MC,쇼호스트","미디어,문화,스포츠"
18,인플루언서,"미디어,문화,스포츠"
18,통번역사,"미디어,문화,스포츠"
18,큐레이터,"미디어,문화,스포츠"
18,음반기획자,"미디어,문화,스포츠"
15,"유치원,보육교사",교육
10,금융사무,"금융,보험"
12,"설치,수리기사","고객서비스,리테일"
12,정비기사,"고객서비스,리테일"
12,호텔종사자,"고객서비스,리테일"
12,여행에이전트,"고객서비스,리테일"
12,스타일리스트,"고객서비스,리테일"
12,장례지도사,"고객서비스,리테일"
12,승무원,"고객서비스,리테일"
12,플로리스트,"고객서비스,리테일"
10,보험설계사,"금융,보험"
10,손해사정사,"금융,보험"
10,"은행원,텔러","금융,보험"
10,계리사,"금융,보험"
10,펀드매니저,"금융,보험"
10,애널리스트,"금융,보험"
8,물류관리자,"물류,무역"
8,구매관리자,"물류,무역"
8,자재관리자,"물류,무역"
8,유통관리자,"물류,무역"
8,무역사무원,"물류,무역"
15,"학교,특수학교교사",교육
15,학원강사,교육
15,외국어강사,교육
15,"기술,전문강사",교육
15,"학습지,방문교사",교육
15,"학원상담,운영자",교육
15,교재개발,교육
7,실내디자이너,디자인
11,소믈리에바텐더,"식,음료"
7,영상디자이너,디자인
7,그래픽디자이너,디자인
7,3D디자이너,디자인
7,제품디자이너,디자인
7,산업디자이너,디자인
7,광고디자이너,디자인
7,시각디자이너,디자인
7,웹디자이너,디자인
7,UI/UX디자이너,디자인
7,패션디자이너,디자인
7,편집디자이너,디자인
7,공간디자이너,디자인
7,캐릭터디자이너,디자인
7,환경디자이너,디자인
7,아트디렉터,디자인
7,일러스트레이터,디자인
11,요리사,"식,음료"
11,조리사,"식,음료"
11,제과제빵사,"식,음료"
11,바리스타,"식,음료"
11,"셰프,주방장","식,음료"
11,"카페,레스토랑 매니저","식,음료"
11,영양사,"식,음료"
11,식품연구원,"식,음료"
11,푸드스타일리스트,"식,음료"
13,"바이오,제약연구원",바이오
13,임상연구원,바이오
